ensembl_gene_id	hgnc_symbol	description	source	logFC	logCPM	LR	PValue	FDR
ENSOCUG00000004501				4.075292061	7.038313436	40.51313626	1.95E-10	4.62E-06
ENSOCUG00000006595	UBA7	ubiquitin like modifier activating enzyme 7 	Source:HGNC Symbol;Acc:HGNC:12471	2.929037162	6.428022978	37.11864887	1.11E-09	1.32E-05
ENSOCUG00000021924	MX1	MX dynamin like GTPase 1 	Source:HGNC Symbol;Acc:HGNC:7532	4.175133201	9.757668158	35.67578385	2.33E-09	1.84E-05
ENSOCUG00000015823	OAS2	2'-5'-oligoadenylate synthetase 2 	Source:HGNC Symbol;Acc:HGNC:8087	3.310989077	7.714443732	31.68262033	1.82E-08	0.00010566
ENSOCUG00000006482	IFI44	interferon induced protein 44 	Source:HGNC Symbol;Acc:HGNC:16938	2.881271545	5.712644067	31.28143529	2.23E-08	0.00010566
ENSOCUG00000013278	DHX58	DExH-box helicase 58 	Source:HGNC Symbol;Acc:HGNC:29517	2.494295382	5.753281961	30.22884085	3.84E-08	0.000151465
ENSOCUG00000027981	ISG15	ISG15 ubiquitin-like modifier 	Source:HGNC Symbol;Acc:HGNC:4053	5.381797624	7.55747431	29.87228662	4.61E-08	0.000156033
ENSOCUG00000015872	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5 	Source:HGNC Symbol;Acc:HGNC:24368	2.616220652	5.695810444	29.24412794	6.38E-08	0.000175883
ENSOCUG00000024570	IFIT5	interferon induced protein with tetratricopeptide repeats 5 	Source:HGNC Symbol;Acc:HGNC:13328	2.575771132	6.636151934	29.15310948	6.69E-08	0.000175883
ENSOCUG00000024734				2.664799515	5.453699457	28.93425584	7.49E-08	0.000177226
ENSOCUG00000012702	SIGLEC1	sialic acid binding Ig like lectin 1 	Source:HGNC Symbol;Acc:HGNC:11127	1.78797739	6.460820155	28.60579855	8.87E-08	0.000190893
ENSOCUG00000009811	ZNFX1	zinc finger NFX1-type containing 1 	Source:HGNC Symbol;Acc:HGNC:29271	1.74321233	7.437121559	28.05318901	1.18E-07	0.000232797
ENSOCUG00000026233	HRASLS2	HRAS like suppressor 2 	Source:HGNC Symbol;Acc:HGNC:17824	3.61530749	5.490546226	27.10887327	1.92E-07	0.000348333
ENSOCUG00000020931	SAMD9	sterile alpha motif domain containing 9 	Source:HGNC Symbol;Acc:HGNC:1348	2.716059595	4.736390063	26.91985747	2.12E-07	0.000348333
ENSOCUG00000005073				3.826163219	6.457963708	26.84229809	2.21E-07	0.000348333
ENSOCUG00000021037	MX2	MX dynamin like GTPase 2 	Source:HGNC Symbol;Acc:HGNC:7533	3.115886897	4.977851737	26.01027357	3.40E-07	0.000502382
